AppID,Name,ReleaseYear,Genre,Price,DiscountPercent,TotalReviews_SteamSpy,EstimatedRevenue_SteamSpy,TotalReviews_AllLanguages,EstimatedRevenue_AllLanguages
1462220,Mini War - Three Kingdoms,2020,Deckbuilding,$0.99,0%,23,"$1,138.50",23,"$1,138.50"
1606300,Puzzle Light,2021,Deckbuilding,$0.49,0%,46,"$1,127.00",47,"$1,151.50"
982750,Puzzles for smart: Underwater Kingdom,2018,Deckbuilding,$3.99,0%,13,"$2,593.50",13,"$2,593.50"
2016540,Chess Pills,2022,Deckbuilding,$3.48,0%,38,"$6,612.00",39,"$6,786.00"
379610,Animated Puzzles,2016,Deckbuilding,$9.99,0%,81,"$40,459.50",80,"$39,960.00"
336680,TREBUCHET,2015,Deckbuilding,$5.99,0%,43,"$12,878.50",43,"$12,878.50"
1636550,Laruaville 11 Match 3 Puzzle,2021,Deckbuilding,$9.99,0%,13,"$6,493.50",13,"$6,493.50"
777340,Animals Memory: Underwater Kingdom,2018,Deckbuilding,$3.99,0%,37,"$7,381.50",38,"$7,581.00"
1285350,Easy puzzle: Landscape,2020,Deckbuilding,$3.99,0%,15,"$2,992.50",15,"$2,992.50"
1629600,Hidden Shapes Lovely Cats - Jigsaw Puzzle Game,2021,Deckbuilding,$1.99,0%,62,"$6,169.00",63,"$6,268.50"
2545560,Frontline: World At War,2024,Deckbuilding,$9.99,0%,25,"$12,487.50",26,"$12,987.00"
1780290,Let's Puzzle,2021,Deckbuilding,$7.99,0%,29,"$11,585.50",29,"$11,585.50"
1850550,I'm on Observation Duty 5,2022,Deckbuilding,$9.99,0%,730,"$364,635.00",737,"$368,131.50"
3008240,How We Die,2024,Deckbuilding,$14.99,0%,21,"$15,739.50",21,"$15,739.50"
1520610,BlackJack Math Cross Numbers,2021,Deckbuilding,$0.99,0%,25,"$1,237.50",25,"$1,237.50"
